ID,书名,Title (English),作者,Author (English),作者去世年份,国家,出版年份,类型,版权状态,是否公版,备注
,中国经典6,Chinese Classic 6,Various,,,中国,1800,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典7,Chinese Classic 7,Various,,,中国,1790,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典8,Chinese Classic 8,Various,,,中国,1780,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典9,Chinese Classic 9,Various,,,中国,1770,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典10,Chinese Classic 10,Various,,,中国,1760,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典11,Chinese Classic 11,Various,,,中国,1750,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典12,Chinese Classic 12,Various,,,中国,1740,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典13,Chinese Classic 13,Various,,,中国,1730,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典14,Chinese Classic 14,Various,,,中国,1720,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典15,Chinese Classic 15,Various,,,中国,1710,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典16,Chinese Classic 16,Various,,,中国,1700,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典17,Chinese Classic 17,Various,,,中国,1690,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典18,Chinese Classic 18,Various,,,中国,1680,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典19,Chinese Classic 19,Various,,,中国,1670,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典20,Chinese Classic 20,Various,,,中国,1660,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典21,Chinese Classic 21,Various,,,中国,1650,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典22,Chinese Classic 22,Various,,,中国,1640,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典23,Chinese Classic 23,Various,,,中国,1630,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典24,Chinese Classic 24,Various,,,中国,1620,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典25,Chinese Classic 25,Various,,,中国,1610,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典26,Chinese Classic 26,Various,,,中国,1600,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典27,Chinese Classic 27,Various,,,中国,1590,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典28,Chinese Classic 28,Various,,,中国,1580,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典29,Chinese Classic 29,Various,,,中国,1570,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典30,Chinese Classic 30,Various,,,中国,1560,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典31,Chinese Classic 31,Various,,,中国,1550,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典32,Chinese Classic 32,Various,,,中国,1540,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典33,Chinese Classic 33,Various,,,中国,1530,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典34,Chinese Classic 34,Various,,,中国,1520,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典35,Chinese Classic 35,Various,,,中国,1510,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典36,Chinese Classic 36,Various,,,中国,1500,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典37,Chinese Classic 37,Various,,,中国,1490,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典38,Chinese Classic 38,Various,,,中国,1480,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典39,Chinese Classic 39,Various,,,中国,1470,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典40,Chinese Classic 40,Various,,,中国,1460,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典41,Chinese Classic 41,Various,,,中国,1450,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典42,Chinese Classic 42,Various,,,中国,1440,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典43,Chinese Classic 43,Various,,,中国,1430,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典44,Chinese Classic 44,Various,,,中国,1420,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典45,Chinese Classic 45,Various,,,中国,1410,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典46,Chinese Classic 46,Various,,,中国,1400,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典47,Chinese Classic 47,Various,,,中国,1390,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典48,Chinese Classic 48,Various,,,中国,1380,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典49,Chinese Classic 49,Various,,,中国,1370,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典50,Chinese Classic 50,Various,,,中国,1360,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典51,Chinese Classic 51,Various,,,中国,1350,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典52,Chinese Classic 52,Various,,,中国,1340,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典53,Chinese Classic 53,Various,,,中国,1330,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典54,Chinese Classic 54,Various,,,中国,1320,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典55,Chinese Classic 55,Various,,,中国,1310,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典56,Chinese Classic 56,Various,,,中国,1300,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典57,Chinese Classic 57,Various,,,中国,1290,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典58,Chinese Classic 58,Various,,,中国,1280,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典59,Chinese Classic 59,Various,,,中国,1270,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典60,Chinese Classic 60,Various,,,中国,1260,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典61,Chinese Classic 61,Various,,,中国,1250,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典62,Chinese Classic 62,Various,,,中国,1240,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典63,Chinese Classic 63,Various,,,中国,1230,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典64,Chinese Classic 64,Various,,,中国,1220,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典65,Chinese Classic 65,Various,,,中国,1210,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典66,Chinese Classic 66,Various,,,中国,1200,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典67,Chinese Classic 67,Various,,,中国,1190,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典68,Chinese Classic 68,Various,,,中国,1180,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典69,Chinese Classic 69,Various,,,中国,1170,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典70,Chinese Classic 70,Various,,,中国,1160,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典71,Chinese Classic 71,Various,,,中国,1150,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典72,Chinese Classic 72,Various,,,中国,1140,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典73,Chinese Classic 73,Various,,,中国,1130,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典74,Chinese Classic 74,Various,,,中国,1120,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典75,Chinese Classic 75,Various,,,中国,1110,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典76,Chinese Classic 76,Various,,,中国,1100,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典77,Chinese Classic 77,Various,,,中国,1090,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典78,Chinese Classic 78,Various,,,中国,1080,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典79,Chinese Classic 79,Various,,,中国,1070,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典80,Chinese Classic 80,Various,,,中国,1060,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典81,Chinese Classic 81,Various,,,中国,1050,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典82,Chinese Classic 82,Various,,,中国,1040,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典83,Chinese Classic 83,Various,,,中国,1030,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典84,Chinese Classic 84,Various,,,中国,1020,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典85,Chinese Classic 85,Various,,,中国,1010,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典86,Chinese Classic 86,Various,,,中国,1000,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典87,Chinese Classic 87,Various,,,中国,990,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典88,Chinese Classic 88,Various,,,中国,980,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典89,Chinese Classic 89,Various,,,中国,970,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典90,Chinese Classic 90,Various,,,中国,960,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典91,Chinese Classic 91,Various,,,中国,950,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典92,Chinese Classic 92,Various,,,中国,940,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典93,Chinese Classic 93,Various,,,中国,930,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典94,Chinese Classic 94,Various,,,中国,920,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典95,Chinese Classic 95,Various,,,中国,910,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典96,Chinese Classic 96,Various,,,中国,900,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典97,Chinese Classic 97,Various,,,中国,890,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典98,Chinese Classic 98,Various,,,中国,880,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典99,Chinese Classic 99,Various,,,中国,870,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,中国经典100,Chinese Classic 100,Various,,,中国,860,"L, i, t, e, r, a, t, u, r, e",✅ 公版书,是,出版于1926年前
,紅樓夢,Dream of the Red Chamber,曹雪芹,,,中国,1791,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,西遊記,Journey to the West,吴承恩,,,中国,1592,"F, a, n, t, a, s, y",✅ 公版书,是,出版于1926年前
,三國演義,Romance of the Three Kingdoms,罗贯中,,,中国,1522,"H, i, s, t, o, r, i, c, a, l",✅ 公版书,是,出版于1926年前
,水滸傳,Water Margin,施耐庵,,,中国,1589,"A, d, v, e, n, t, u, r, e",✅ 公版书,是,出版于1926年前
,金瓶梅,The Plum in the Golden Vase,兰陵笑笑生,,,中国,1610,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,源氏物語,The Tale of Genji,紫式部,,,日本,1008,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,枕草子,The Pillow Book,清少纳言,,,日本,1002,"E, s, s, a, y, s",✅ 公版书,是,出版于1926年前
,こころ,Kokoro,夏目漱石,,,日本,1914,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,人間失格,No Longer Human,太宰治,,,日本,1948,"N, o, v, e, l",❓ 需核实,未知,缺少作者去世年份
,雪国,Snow Country,川端康成,,,日本,1948,"N, o, v, e, l",❓ 需核实,未知,缺少作者去世年份
,रामायण,Ramayana,Valmiki,,,印度,-500,"E, p, i, c",✅ 公版书,是,出版于1926年前
,महाभारत,Mahabharata,Vyasa,,,印度,-400,"E, p, i, c",✅ 公版书,是,出版于1926年前
,Gitanjali,Gitanjali,Rabindranath Tagore,,,印度,1910,"P, o, e, t, r, y",✅ 公版书,是,出版于1926年前
,Hamlet,Hamlet,William Shakespeare,,,英国,1603,"T, r, a, g, e, d, y",✅ 公版书,是,出版于1926年前
,Pride and Prejudice,Pride and Prejudice,Jane Austen,,,英国,1813,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Oliver Twist,Oliver Twist,Charles Dickens,,,英国,1838,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Wuthering Heights,Wuthering Heights,Emily Brontë,,,英国,1847,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Les Misérables,Les Misérables,Victor Hugo,,,法国,1862,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
,Le Comte de Monte-Cristo,The Count of Monte Cristo,Alexandre Dumas,,,法国,1844,"A, d, v, e, n, t, u, r, e",✅ 公版书,是,出版于1926年前
,Madame Bovary,Madame Bovary,Gustave Flaubert,,,法国,1857,"N, o, v, e, l",✅ 公版书,是,出版于1926年前
